market,product,source,start,end,timeliness,data_length,completeness,duplicates,mode_D
Nairobi,Barley,EAGC-RATIN,2013-05-29,2018-06-14,708,1843,0.007,0,4
Nairobi,Beans,EAGC-RATIN,2016-06-23,2019-10-11,224,2598,0.623,0,1392
Nairobi,Peas,EAGC-RATIN,2018-01-04,2019-10-11,224,1282,0.683,0,636
Nairobi,Rice,EAGC-RATIN,2015-12-02,2019-07-25,302,1521,0.224,0,189
Nairobi,Wheat,EAGC-RATIN,2018-01-16,2019-07-25,302,683,0.328,0,127
Nairobi,Maize,EAGC-RATIN,2018-12-13,2019-10-11,224,357,0.524,0,78
Nairobi,Sorghum,EAGC-RATIN,2018-09-10,2019-10-11,224,583,0.619,0,186
Nairobi,Millet,EAGC-RATIN,2018-09-06,2019-10-09,226,444,0.423,0,83
Gitega,Beans,EAGC-RATIN,2018-10-11,2019-10-16,219,884,0.777,0,513
Gitega,Peas,EAGC-RATIN,2018-01-04,2019-10-16,219,1120,0.646,0,469
Gitega,Rice,EAGC-RATIN,2013-06-17,2019-10-16,219,2540,0.163,0,227
Gitega,Wheat,EAGC-RATIN,2018-07-11,2019-10-16,219,507,0.404,0,90
Gitega,Maize,EAGC-RATIN,2018-12-12,2019-10-16,219,342,0.52,0,86
Gitega,Sorghum,EAGC-RATIN,2018-11-16,2019-10-16,219,371,0.52,0,94
Gitega,Millet,EAGC-RATIN,2019-08-06,2019-10-16,219,79,0.418,0,11
Arusha,Barley,EAGC-RATIN,2018-11-15,2019-05-29,359,277,0.671,0,81
Arusha,Beans,EAGC-RATIN,2018-02-07,2019-10-17,218,1558,0.715,0,940
Arusha,Peas,EAGC-RATIN,2018-01-29,2019-10-17,218,1222,0.633,0,595
Arusha,Rice,EAGC-RATIN,2014-08-20,2019-10-17,218,2626,0.431,0,741
Arusha,Wheat,EAGC-RATIN,2018-08-10,2019-10-17,218,597,0.506,0,163
Arusha,Maize,EAGC-RATIN,2018-02-02,2019-10-17,218,764,0.37,0,141
Arusha,Sorghum,EAGC-RATIN,2018-09-28,2019-10-17,218,681,0.653,0,296
Arusha,Millet,EAGC-RATIN,2018-09-26,2019-10-17,218,690,0.641,0,303
Dar es salaam,Beans,EAGC-RATIN,2018-05-17,2019-10-17,218,1196,0.708,0,677
Dar es salaam,Peas,EAGC-RATIN,2018-03-02,2019-10-17,218,624,0.099,0,29
Dar es salaam,Rice,EAGC-RATIN,2014-08-20,2019-10-17,218,2183,0.328,0,298
Dar es salaam,Wheat,EAGC-RATIN,2018-07-10,2019-10-17,218,495,0.325,0,68
Dar es salaam,Maize,EAGC-RATIN,2018-12-13,2019-10-17,218,334,0.407,0,58
Dar es salaam,Sorghum,EAGC-RATIN,2018-11-19,2019-10-17,218,355,0.392,0,63
Dar es salaam,Millet,EAGC-RATIN,2018-09-17,2019-10-17,218,422,0.36,0,68
Kasese,Beans,EAGC-RATIN,2018-06-19,2019-06-26,331,906,0.73,0,533
Kasese,Peas,EAGC-RATIN,2017-12-29,2019-06-26,331,583,0.328,0,73
Kasese,Rice,EAGC-RATIN,2014-12-09,2019-06-26,331,2033,0.381,0,372
Kasese,Maize,EAGC-RATIN,2017-08-30,2019-06-26,331,689,0.176,0,58
Kasese,Sorghum,EAGC-RATIN,2018-10-31,2019-06-26,331,266,0.5,0,64
